forecast_id,valid_date,region_id,region_name,latitude,longitude,lead_time_days,rain_forecast,temp_forecast,mslp_forecast,rh_forecast,wind_forecast,cape_forecast,ensemble_spread,synoptic_regime,rain_observed,temp_observed,mslp_observed,rh_observed,wind_observed,cape_observed,rain_error,temp_error,mslp_error,rh_error,wind_error,rain_abs_error,temp_abs_error,mslp_abs_error,rh_abs_error,wind_abs_error,is_rain_bust,is_temp_bust,is_wind_bust,is_mslp_bust,is_forecast_bust,season,saturation_deficit,convective_intensity_index,pressure_anomaly,spatial_pressure_gradient,spatial_rain_gradient,temp_tendency_24h,mslp_tendency_24h,rain_tendency_24h,lead_time_sq,spread_lead_ratio,regime_monsoon_depression,regime_heavy_rainfall,regime_cyclone,regime_heat_wave,regime_western_disturbance,regime_active_break_monsoon,is_rapid_evolving_system,hist_region_bust_rate,hist_region_rain_mae,hist_region_temp_mae
FC_0000000,2024-02-01,NE,East & Northeast India,26.13,93.32,3,35.03,24.52,1013.32,52.58,3.24,844.5,16.7,fair_weather,1.54,32.16,1013.7,54.51,5.24,866.3,33.49,-7.639999999999997,-0.37999999999999545,-1.9299999999999997,-2.0,33.49,7.639999999999997,0.37999999999999545,1.9299999999999997,2.0,1,1,0,0,1,Winter,47.42,2.7361800000000005,-0.07000000000005002,1.11,13.5,0.82,-0.16,-1.67,9,5.566666666666666,0,0,0,0,0,0,0,0.25190839694656486,7.7308778625954195,2.112251908396947
FC_0000001,2024-12-30,NW,Northwest India,29.06,68.29,6,0.0,32.01,1003.14,45.04,6.09,771.9,9.52,post_monsoon,2.46,27.36,1008.18,49.32,6.52,397.9,-2.46,4.649999999999999,-5.039999999999964,-4.280000000000001,-0.4299999999999997,2.46,4.649999999999999,5.039999999999964,4.280000000000001,0.4299999999999997,0,1,0,1,1,Post-Monsoon,54.96,4.700871,10.110000000000014,3.23,1.67,-0.24,-0.07,-3.51,36,1.5866666666666667,0,0,0,0,0,0,0,0.6025641025641025,14.582179487179488,3.756153846153846
FC_0000002,2023-05-11,NE,East & Northeast India,28.91,96.39,6,4.19,30.76,1009.39,63.47,0.94,688.5,9.38,pre_monsoon,2.86,28.18,1009.18,65.04,5.52,369.5,1.3300000000000005,2.580000000000002,0.21000000000003638,-1.5700000000000074,-4.58,1.3300000000000005,2.580000000000002,0.21000000000003638,1.5700000000000074,4.58,0,0,0,0,0,Pre-Monsoon,36.53,0.6471899999999999,3.8600000000000136,1.01,2.66,-0.22,3.31,1.48,36,1.5633333333333335,0,0,0,0,0,0,0,0.5887096774193549,16.5770564516129,4.45866935483871
FC_0000003,2024-07-18,NW,Northwest India,36.34,77.44,1,11.75,30.35,1008.44,43.34,5.54,1066.0,3.69,normal_monsoon,13.7,32.01,1009.83,40.48,3.3,742.4,-1.9499999999999993,-1.6599999999999966,-1.3899999999999864,2.8600000000000065,2.24,1.9499999999999993,1.6599999999999966,1.3899999999999864,2.8600000000000065,2.24,0,0,0,0,0,SW-Monsoon,56.66,5.90564,4.809999999999945,2.22,4.27,0.74,-1.16,1.89,1,3.69,0,0,0,0,0,0,0,0.15873015873015872,5.933611111111111,1.5877777777777777
FC_0000004,2024-02-05,NW,Northwest India,34.6,74.85,4,40.98,13.13,1007.05,71.99,7.65,443.3,20.07,western_disturbance,5.63,8.81,1007.68,74.46,8.2,923.0,35.349999999999994,4.32,-0.6299999999999955,-2.469999999999999,-0.5499999999999989,35.349999999999994,4.32,0.6299999999999955,2.469999999999999,0.5499999999999989,1,1,0,0,1,Winter,28.010000000000005,3.3912450000000005,6.2000000000000455,2.99,14.42,1.36,-0.19,10.68,16,5.0175,0,0,0,0,1,0,1,0.508833922261484,12.866643109540636,2.8804593639575975
FC_0000005,2024-01-01,CI,Central India,24.76,80.01,1,0.59,30.24,1012.42,48.98,6.3,1004.0,3.36,fair_weather,1.83,30.51,1011.55,62.64,6.15,928.5,-1.2400000000000002,-0.2700000000000031,0.8700000000000045,-13.660000000000004,0.14999999999999947,1.2400000000000002,0.2700000000000031,0.8700000000000045,13.660000000000004,0.14999999999999947,0,0,0,0,0,Winter,51.02,6.3252,0.8300000000000409,1.91,0.5,-0.19,1.01,1.43,1,3.36,0,0,0,0,0,0,0,0.16923076923076924,8.377038461538461,1.3539230769230768
FC_0000006,2023-11-11,WG,Western Ghats & West Coast,9.61,74.26,7,26.09,32.88,1012.91,64.44,6.8,1787.0,13.68,post_monsoon,8.51,30.63,1011.17,72.86,6.9,1101.8,17.58,2.2500000000000036,1.740000000000009,-8.420000000000002,-0.10000000000000053,17.58,2.2500000000000036,1.740000000000009,8.420000000000002,0.10000000000000053,0,0,0,0,0,Post-Monsoon,35.56,12.1516,0.34000000000003183,1.83,9.26,0.01,-1.51,4.3,49,1.9542857142857142,0,0,0,0,0,0,0,0.7466666666666667,29.23102222222222,4.842444444444444
FC_0000007,2021-05-02,EC,Bay of Bengal & East Coast,21.68,83.16,7,165.38,24.45,991.82,95.26,45.87,3942.4,13.98,cyclone,145.55,28.03,984.85,95.4,46.85,3950.5,19.829999999999984,-3.580000000000002,6.970000000000027,-0.14000000000000057,-0.980000000000004,19.829999999999984,3.580000000000002,6.970000000000027,0.14000000000000057,0.980000000000004,0,1,0,1,1,Pre-Monsoon,4.739999999999995,180.837888,21.42999999999995,13.49,59.04,0.42,-12.08,-6.34,49,1.997142857142857,0,0,1,0,0,0,1,0.7536231884057971,31.278079710144926,4.301775362318841
FC_0000008,2022-04-12,NW,Northwest India,35.28,68.93,6,0.0,22.31,999.75,61.83,8.36,2046.8,29.36,pre_monsoon,15.73,30.29,1008.97,60.81,4.36,776.3,-15.73,-7.98,-9.220000000000027,1.019999999999996,3.999999999999999,15.73,7.98,9.220000000000027,1.019999999999996,3.999999999999999,1,1,0,1,1,Pre-Monsoon,38.17,17.111248,13.5,4.22,0.9,-1.61,2.36,0.18,36,4.8933333333333335,0,0,0,0,0,0,0,0.6025641025641025,14.582179487179488,3.756153846153846
FC_0000009,2024-05-23,SP,Southern Peninsula,10.67,76.93,2,13.52,27.49,1006.86,55.38,7.38,829.9,6.41,pre_monsoon,3.67,26.88,1007.88,61.89,6.98,541.8,9.85,0.6099999999999994,-1.0199999999999818,-6.509999999999998,0.39999999999999947,9.85,0.6099999999999994,1.0199999999999818,6.509999999999998,0.39999999999999947,0,0,0,0,0,Pre-Monsoon,44.62,6.124661999999999,6.389999999999986,3.04,7.45,1.06,0.5,6.14,4,3.205,0,0,0,0,0,0,0,0.12658227848101267,6.515105485232067,1.4548523206751058
FC_0000010,2021-11-27,WG,Western Ghats & West Coast,8.62,73.04,4,3.25,20.03,1011.56,73.09,5.81,862.9,9.1,post_monsoon,1.77,23.36,1012.8,42.22,6.09,1037.8,1.48,-3.3299999999999983,-1.240000000000009,30.870000000000005,-0.28000000000000025,1.48,3.3299999999999983,1.240000000000009,30.870000000000005,0.28000000000000025,0,1,0,0,1,Post-Monsoon,26.909999999999997,5.013449,1.6900000000000546,1.85,1.46,0.27,1.05,-1.74,16,2.275,0,0,0,0,0,0,0,0.42084942084942084,15.014478764478765,2.5983397683397684
FC_0000011,2021-03-29,EC,Bay of Bengal & East Coast,13.12,87.54,3,35.72,29.34,1015.97,63.12,3.42,727.2,5.7,fair_weather,26.31,30.82,1013.11,44.72,4.74,495.3,9.41,-1.4800000000000004,2.8600000000000136,18.4,-1.3200000000000003,9.41,1.4800000000000004,2.8600000000000136,18.4,1.3200000000000003,0,0,0,0,0,Pre-Monsoon,36.88,2.487024,-2.7200000000000273,1.42,12.92,-1.35,-2.8,-5.93,9,1.9000000000000001,0,0,0,0,0,0,0,0.35269709543568467,20.04215767634855,2.0838589211618257
FC_0000012,2024-10-28,SP,Southern Peninsula,8.51,76.64,8,5.97,25.63,1010.44,45.47,10.73,626.2,14.8,post_monsoon,6.08,26.14,1008.61,44.51,6.57,405.5,-0.11000000000000032,-0.5100000000000016,1.830000000000041,0.9600000000000009,4.16,0.11000000000000032,0.5100000000000016,1.830000000000041,0.9600000000000009,4.16,0,0,0,0,0,Post-Monsoon,54.53,6.719126000000001,2.8099999999999454,2.93,3.49,-2.42,-0.74,-1.48,64,1.85,0,0,0,0,0,0,0,0.8173913043478261,28.809652173913044,6.443217391304348
